student_id,kp_name,mastery,n_obs
S0001,一元函数导数及其应用,0.8523634663333458,5.0
S0001,三角函数,0.2870903057295185,5.0
S0001,函数应用,0.48380540952004175,5.0
S0001,函数概念与性质,0.18041645711965754,5.0
S0001,复数,0.42212461316764244,5.0
S0001,对数函数,0.5016889581500552,5.0
S0001,幂函数,0.19956190438375454,5.0
S0001,平面向量及其应用,0.40684618373976805,5.0
S0001,平面解析几何,0.3803370754858239,5.0
S0001,指数函数,0.7565106522620149,5.0
S0001,数列,0.6400900658080704,5.0
S0001,概率,0.35099309500927234,5.0
S0001,空间向量与立体几何,0.3001498779306931,5.0
S0001,立体几何初步,0.5190622933543506,5.0
S0001,统计,0.8560132494071635,5.0
S0001,计数原理,0.15709067539527166,5.0
S0001,集合与逻辑,0.6286030198767028,5.0
S0002,一元函数导数及其应用,0.17850170391824285,5.0
S0002,三角函数,0.4882793711417762,5.0
S0002,函数应用,0.7049967865363214,5.0
S0002,函数概念与性质,0.5121456007907832,5.0
S0002,复数,0.4088751991704982,5.0
S0002,对数函数,0.45815984876018867,5.0
S0002,幂函数,0.7467288448095211,5.0
S0002,平面向量及其应用,0.11828934367484464,5.0
S0002,平面解析几何,0.21844231417573867,5.0
S0002,指数函数,0.7007916784559783,5.0
S0002,数列,0.36667231295656066,5.0
S0002,概率,0.3862430164275165,5.0
S0002,空间向量与立体几何,0.09965498546286723,5.0
S0002,立体几何初步,0.43169505668536895,5.0
S0002,统计,0.5107760080014635,5.0
S0002,计数原理,0.5968123293638482,5.0
S0002,集合与逻辑,0.17716674865094068,5.0
S0003,一元函数导数及其应用,0.4037231455817608,5.0
S0003,三角函数,0.388617894666828,5.0
S0003,函数应用,0.39016155080251774,5.0
S0003,函数概念与性质,0.5067762342015868,5.0
S0003,复数,0.7301603919830627,5.0
S0003,对数函数,0.8209321978324857,5.0
S0003,幂函数,0.5381383251821098,5.0
S0003,平面向量及其应用,0.6402130177943384,5.0
S0003,平面解析几何,0.8854402993095033,5.0
S0003,指数函数,0.36959329228254745,5.0
S0003,数列,0.8830225570957742,5.0
S0003,概率,0.39422560558808584,5.0
S0003,空间向量与立体几何,0.8626448936945781,5.0
S0003,立体几何初步,0.39195269079353157,5.0
S0003,统计,0.35833464185583486,5.0
S0003,计数原理,0.7591573836904889,5.0
S0003,集合与逻辑,0.4429067117930328,5.0
S0004,一元函数导数及其应用,0.7819126947669827,5.0
S0004,三角函数,0.29008782299365965,5.0
S0004,函数应用,0.5465922812780951,5.0
S0004,函数概念与性质,0.9274281245586591,5.0
S0004,复数,0.5120446943621657,5.0
S0004,对数函数,0.6673226048876193,5.0
S0004,幂函数,0.7758552816782486,5.0
S0004,平面向量及其应用,0.23362895753102894,5.0
S0004,平面解析几何,0.3335706924794073,5.0
S0004,指数函数,0.6242982518597604,5.0
S0004,数列,0.7933428096008468,5.0
S0004,概率,0.24838072842657447,5.0
S0004,空间向量与立体几何,0.8624461707249595,5.0
S0004,立体几何初步,0.6256159714143953,5.0
S0004,统计,0.90454254810042,5.0
S0004,计数原理,0.27290910531276275,5.0
S0004,集合与逻辑,0.5317085924915775,5.0
S0005,一元函数导数及其应用,0.2534976367617114,5.0
S0005,三角函数,0.677501145416763,5.0
S0005,函数应用,0.8156257775067595,5.0
S0005,函数概念与性质,0.19809633531872176,5.0
S0005,复数,0.833985999660727,5.0
S0005,对数函数,0.3317423588046027,5.0
S0005,幂函数,0.4137930673591841,5.0
S0005,平面向量及其应用,0.6964121001194614,5.0
S0005,平面解析几何,0.5387214229019507,5.0
S0005,指数函数,0.8430088915527214,5.0
S0005,数列,0.29272639673118545,5.0
S0005,概率,0.30850151100516826,5.0
